Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
22.10	76.00	7.67
22.10	78.00	7.72
22.10	78.00	7.72
22.10	78.00	7.72
22.10	78.00	7.72
22.10	78.00	7.67
22.10	78.00	7.74
22.10	78.00	7.72
22.10	78.00	7.72
22.10	78.00	6.67
22.10	78.00	7.76
22.10	79.00	7.72
22.10	79.00	7.69
22.10	79.00	7.72
22.10	79.00	7.74
22.10	79.00	7.74
22.10	80.00	7.69
22.10	80.00	6.69
22.10	80.00	7.74
22.10	80.00	7.72
22.10	80.00	6.71
Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
22.20	81.00	7.69
22.20	81.00	7.76
22.10	82.00	7.74
22.20	81.00	7.69
22.10	82.00	7.83
22.10	82.00	7.63
22.10	82.00	7.72
22.10	82.00	7.74
22.10	82.00	7.63
22.10	82.00	7.69
22.10	82.00	7.76
22.10	82.00	7.74
22.10	82.00	7.67
22.10	82.00	7.76
22.10	82.00	7.65
22.10	82.00	7.69
22.20	82.00	7.76
22.10	82.00	7.59
22.10	82.00	7.76
22.20	82.00	7.76
22.10	82.00	7.61
22.20	82.00	7.74
22.10	82.00	7.74
22.10	82.00	7.59
22.10	82.00	7.78
22.10	82.00	7.67
22.10	82.00	7.65
22.10	82.00	7.78
22.20	82.00	7.63
22.10	82.00	7.54
22.10	82.00	7.52
22.20	82.00	8.19
22.20	82.00	7.72
22.20	82.00	7.65
22.20	82.00	7.78
22.20	82.00	7.65
22.10	82.00	7.74
22.20	82.00	7.74
22.10	82.00	7.63
22.10	82.00	7.78
22.10	82.00	7.67
22.10	82.00	7.74
22.20	82.00	7.40
22.20	82.00	8.07
22.20	82.00	7.35
22.20	82.00	7.72
22.10	82.00	7.76
22.10	83.00	7.63
22.10	83.00	8.32
22.20	83.00	8.27
22.10	83.00	8.22
22.20	82.00	8.09
22.20	83.00	7.38
22.20	83.00	7.65
22.20	83.00	7.63
22.20	83.00	7.81
22.20	83.00	7.63
22.20	83.00	7.81
22.20	83.00	7.65
22.20	83.00	7.78
22.20	84.00	7.61
22.20	84.00	7.76
22.20	84.00	7.56
22.20	84.00	7.78
22.20	84.00	6.72
22.20	84.00	7.74
22.10	84.00	6.71
22.20	83.00	7.67
22.20	83.00	7.81
22.10	84.00	6.67
22.10	83.00	7.78
22.20	84.00	7.69
22.10	83.00	7.74
22.10	83.00	7.69
22.10	84.00	7.69
22.10	84.00	7.81
22.10	84.00	7.67
22.10	84.00	7.81
22.10	84.00	7.63
22.10	84.00	7.74
22.20	84.00	7.69
22.10	84.00	7.67
22.20	84.00	7.78
22.20	84.00	7.65
22.20	84.00	7.81
22.20	84.00	7.63
22.20	84.00	7.76
22.10	84.00	7.67
22.20	84.00	7.81
22.10	83.00	7.65
22.20	84.00	7.76
22.20	83.00	7.65
22.20	83.00	7.74
22.20	83.00	6.71
22.20	83.00	7.74
22.20	83.00	7.72
22.10	83.00	6.71
22.10	83.00	7.76
22.10	84.00	6.69
22.10	84.00	7.81
22.00	84.00	6.69
22.10	84.00	7.76
22.10	84.00	7.69
22.10	84.00	7.67
22.10	83.00	7.81
22.20	84.00	7.67
22.10	84.00	7.78
22.10	84.00	7.61
22.20	84.00	7.78
22.10	84.00	7.67
22.10	84.00	7.72
22.10	84.00	7.78
22.00	84.00	7.61
22.10	84.00	7.81
22.10	84.00	7.65
22.10	84.00	7.76
22.20	84.00	7.65
22.10	84.00	7.69
22.20	84.00	6.74
22.00	84.00	7.63
22.10	83.00	7.76
22.10	83.00	7.67
22.10	83.00	7.81
22.00	83.00	7.65
22.10	83.00	7.81
22.10	83.00	7.69
22.10	83.00	7.78
22.10	83.00	7.67
22.10	83.00	7.72
22.10	83.00	7.69
22.10	83.00	7.72
22.10	83.00	6.77
22.00	83.00	7.65
22.10	83.00	7.78
22.10	83.00	7.63
22.00	83.00	7.76
22.10	83.00	7.63
22.10	83.00	7.76
22.10	83.00	7.67
22.00	83.00	7.74
22.10	83.00	7.65
22.10	83.00	7.81
22.10	83.00	7.46
22.10	83.00	7.69
22.10	83.00	7.33
22.10	83.00	7.78
22.00	83.00	7.72
22.10	84.00	7.72
22.10	84.00	7.74
22.10	84.00	7.61
22.10	84.00	7.78
22.10	84.00	6.64
22.10	84.00	8.29
22.10	84.00	8.02
22.20	84.00	8.02
22.10	84.00	7.78
22.10	84.00	7.81
22.00	84.00	7.59
22.10	84.00	7.81
22.00	84.00	7.63
22.10	84.00	7.81
22.10	84.00	6.67
22.10	84.00	7.78
22.20	84.00	7.65
22.10	84.00	7.78
22.10	84.00	6.69
22.10	84.00	7.76
22.10	84.00	7.63
22.10	84.00	7.76
22.10	84.00	6.74
22.10	83.00	7.69
22.10	83.00	7.78
22.10	83.00	7.69
22.10	83.00	7.18
22.10	83.00	7.59
22.10	84.00	7.67
22.10	84.00	7.78
22.10	84.00	7.65
22.10	83.00	7.78
22.10	84.00	7.69
22.10	84.00	7.76
22.10	84.00	7.63
22.10	84.00	7.78
22.10	84.00	7.63
22.10	83.00	7.81
22.10	83.00	6.67
22.10	83.00	7.95
22.00	83.00	8.17
22.10	83.00	8.04
22.10	83.00	7.65
22.10	83.00	7.78
22.10	83.00	7.61
22.10	83.00	7.76
22.10	83.00	7.65
22.10	83.00	7.83
22.00	83.00	7.65
22.10	83.00	7.78
22.10	83.00	7.67
22.10	83.00	7.83
22.10	83.00	7.81
22.20	83.00	7.81
22.10	83.00	7.67
22.10	83.00	7.65
22.10	83.00	7.76
22.00	83.00	7.69
22.10	83.00	7.76
22.00	83.00	7.81
22.10	83.00	7.74
22.10	83.00	7.72
22.10	83.00	7.72
22.10	83.00	7.72
22.10	83.00	7.65
22.10	83.00	7.59
22.10	83.00	7.27
22.10	84.00	7.81
22.10	83.00	7.67
22.10	84.00	7.78
22.00	84.00	7.59
22.10	84.00	7.78
22.10	84.00	7.74
22.10	84.00	7.78
22.10	84.00	7.65
22.00	84.00	7.76
22.10	83.00	7.48
22.10	84.00	7.54
22.10	84.00	7.72
22.10	84.00	7.69
22.10	84.00	7.74
22.10	83.00	7.67
22.10	84.00	7.78
22.10	83.00	7.78
22.00	83.00	7.63
22.10	84.00	7.76
22.10	83.00	6.74
22.10	83.00	7.74
22.10	83.00	7.67
22.10	83.00	7.74
22.00	83.00	7.76
22.00	83.00	7.72
22.10	83.00	7.76
