Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
22.30	80.00	7.61
22.20	80.00	7.50
Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
22.30	80.00	7.61
22.40	82.00	7.67
22.40	82.00	7.67
22.40	82.00	7.54
22.40	82.00	7.50
22.40	82.00	7.67
22.40	82.00	7.63
22.40	82.00	6.51
22.40	82.00	7.56
22.40	82.00	7.65
22.40	81.00	7.69
22.40	82.00	7.56
22.40	82.00	7.63
22.50	81.00	7.31
22.50	82.00	7.67
22.40	82.00	7.61
22.50	82.00	7.65
22.40	82.00	7.67
22.40	82.00	6.53
22.40	82.00	7.54
22.40	82.00	7.65
22.40	82.00	7.69
22.40	82.00	6.53
22.40	82.00	7.69
22.40	81.00	7.65
22.40	81.00	7.59
22.40	81.00	7.67
22.40	81.00	7.69
22.40	81.00	7.27
22.40	82.00	7.48
22.40	82.00	7.69
22.40	82.00	7.54
22.40	82.00	7.63
22.40	82.00	7.67
22.40	82.00	7.56
22.40	82.00	7.63
22.40	82.00	7.67
22.40	82.00	7.59
22.40	82.00	7.59
22.30	82.00	7.69
22.40	82.00	7.59
22.40	82.00	7.56
22.40	82.00	7.67
22.40	82.00	7.56
22.40	82.00	7.61
22.40	82.00	7.29
22.40	82.00	7.38
22.40	82.00	7.25
22.40	82.00	7.92
22.40	83.00	7.54
22.40	83.00	7.74
22.40	83.00	7.29
22.40	83.00	7.76
22.40	83.00	8.09
22.40	83.00	6.66
22.30	83.00	7.92
22.40	82.00	7.54
22.40	82.00	7.44
22.30	82.00	7.69
22.40	83.00	7.52
22.30	82.00	7.67
22.40	83.00	7.67
22.40	83.00	7.48
22.40	83.00	7.69
22.40	83.00	7.35
22.30	83.00	7.54
22.40	83.00	7.69
22.40	83.00	7.46
22.40	83.00	7.61
22.30	83.00	7.50
22.40	84.00	7.59
22.40	84.00	7.63
22.40	84.00	7.50
22.40	84.00	7.59
22.40	84.00	7.46
22.40	85.00	8.02
22.40	85.00	7.61
22.40	85.00	7.48
22.40	85.00	7.56
22.40	85.00	7.48
22.40	85.00	7.54
22.40	86.00	7.56
22.40	86.00	7.50
22.40	86.00	7.63
22.40	86.00	7.46
22.40	86.00	7.54
22.50	86.00	7.54
22.40	86.00	7.48
22.50	86.00	7.61
22.40	86.00	7.48
22.40	86.00	7.18
22.50	86.00	7.59
22.40	86.00	7.44
22.50	86.00	7.59
22.40	86.00	7.44
22.40	86.00	7.61
22.50	86.00	7.54
22.40	86.00	7.50
22.40	86.00	7.63
22.40	86.00	7.50
22.40	86.00	7.61
22.40	86.00	7.46
22.40	86.00	7.56
22.40	86.00	7.52
22.40	87.00	7.48
22.40	86.00	7.59
22.40	86.00	7.48
22.40	87.00	7.63
22.40	86.00	6.45
22.40	86.00	7.61
22.40	86.00	7.38
22.40	86.00	7.25
22.50	86.00	7.22
22.40	86.00	7.52
22.40	86.00	7.61
22.30	86.00	6.48
22.40	86.00	7.63
22.40	86.00	6.48
22.40	86.00	7.56
22.40	86.00	6.57
22.40	86.00	7.65
22.40	86.00	7.44
22.40	86.00	7.52
22.40	86.00	7.54
22.40	86.00	7.59
22.40	86.00	7.48
22.40	86.00	7.59
22.40	86.00	7.44
22.30	86.00	7.81
22.40	87.00	8.07
22.40	87.00	7.52
22.40	87.00	7.54
22.40	87.00	7.44
22.30	87.00	7.61
22.40	87.00	7.50
22.40	87.00	7.61
22.30	87.00	7.52
22.40	87.00	7.50
22.40	87.00	7.63
22.40	87.00	7.48
22.40	87.00	7.61
22.30	87.00	6.51
22.40	87.00	7.56
22.30	87.00	7.61
22.40	87.00	6.49
22.40	87.00	7.63
22.40	87.00	7.97
22.40	87.00	7.72
22.40	87.00	7.81
22.40	87.00	8.04
22.40	87.00	6.29
22.40	87.00	7.27
22.40	87.00	7.95
22.40	87.00	8.00
22.40	87.00	7.92
22.40	87.00	8.02
22.40	87.00	7.83
22.40	87.00	7.48
22.40	87.00	7.59
22.30	87.00	7.48
22.40	87.00	7.63
22.40	87.00	7.46
22.40	87.00	7.59
22.40	87.00	7.54
22.30	87.00	7.56
22.30	87.00	7.54
22.40	87.00	7.52
22.30	87.00	7.61
22.30	87.00	7.48
22.40	87.00	7.59
22.40	87.00	7.48
22.40	87.00	8.09
22.40	87.00	6.66
22.40	87.00	7.08
22.40	87.00	7.61
22.30	87.00	7.46
22.40	87.00	7.59
22.40	87.00	7.46
22.40	87.00	7.63
22.40	87.00	7.50
22.40	87.00	7.59
22.40	87.00	7.48
22.30	87.00	8.04
22.30	87.00	7.52
22.30	87.00	7.54
22.40	87.00	7.52
22.40	87.00	7.52
22.40	87.00	7.63
22.30	87.00	7.48
22.40	87.00	7.63
22.40	87.00	7.44
22.40	87.00	7.63
22.40	87.00	7.44
22.30	87.00	7.61
22.30	87.00	6.95
22.40	87.00	7.38
22.30	87.00	7.78
22.40	87.00	7.33
22.40	87.00	8.07
22.40	87.00	7.56
22.40	87.00	8.04
22.40	87.00	7.14
22.40	87.00	7.61
22.40	87.00	7.85
22.40	87.00	7.74
22.40	87.00	7.52
22.40	87.00	7.59
22.40	87.00	7.50
22.30	87.00	7.63
22.40	87.00	7.50
22.40	87.00	7.25
22.40	87.00	8.14
22.40	87.00	7.56
22.40	87.00	7.50
22.30	87.00	7.54
22.40	87.00	7.92
22.40	87.00	7.46
22.40	87.00	7.59
22.40	87.00	7.44
22.40	87.00	7.61
22.30	87.00	7.52
22.40	87.00	7.76
22.40	87.00	8.09
22.30	87.00	7.42
22.40	87.00	6.51
22.30	87.00	7.56
22.40	87.00	7.52
22.40	87.00	7.46
22.30	87.00	7.61
22.40	87.00	7.46
22.40	88.00	7.22
22.40	87.00	7.44
22.40	87.00	8.09
22.40	88.00	6.35
22.40	88.00	7.27
22.40	88.00	8.12
22.40	88.00	7.52
22.40	88.00	7.61
22.40	87.00	7.46
22.30	88.00	7.63
22.40	88.00	7.44
22.40	88.00	7.63
22.40	88.00	6.49
22.40	88.00	7.56
22.40	88.00	7.44
22.40	88.00	7.54
22.40	88.00	7.65
22.30	88.00	7.44
22.40	88.00	7.63
22.40	88.00	7.46
22.40	88.00	7.59
22.40	88.00	7.16
22.40	88.00	8.12
22.40	88.00	7.74
22.40	88.00	7.59
22.40	88.00	7.14
22.40	88.00	7.67
22.30	88.00	7.48
22.30	88.00	7.59
22.40	88.00	7.52
22.30	88.00	7.56
22.40	88.00	7.54
22.40	88.00	7.48
22.40	88.00	7.59
22.40	88.00	7.46
22.30	88.00	7.61
22.40	88.00	7.44
22.40	88.00	7.56
22.30	88.00	6.29
