Temperatur (C)	Luftfugtighed (%)	Afstand (mm)	
23.70	56.00	6.02
24.00	68.00	7.14
24.00	68.00	7.02
24.10	68.00	7.16
24.00	68.00	7.48
24.00	69.00	6.88
24.10	69.00	7.20
24.20	70.00	7.08
24.10	70.00	7.16
24.10	70.00	7.16
24.10	70.00	7.08
24.10	70.00	7.22
24.10	70.00	7.10
24.10	70.00	7.10
24.10	70.00	7.18
24.10	71.00	7.06
24.10	71.00	7.14
24.10	71.00	7.18
24.10	71.00	6.06
24.00	71.00	7.22
24.10	70.00	7.04
24.10	70.00	7.10
24.10	70.00	7.20
24.10	70.00	7.16
24.10	70.00	7.06
24.10	70.00	7.18
24.00	70.00	7.18
24.00	71.00	6.90
24.00	71.00	7.20
24.00	71.00	7.14
24.00	71.00	7.10
24.00	71.00	7.22
23.90	71.00	7.08
24.00	70.00	7.12
24.00	70.00	7.18
24.00	70.00	7.06
23.90	70.00	7.10
24.00	70.00	7.16
23.90	70.00	7.08
24.00	70.00	7.12
24.00	70.00	7.18
23.90	70.00	7.12
24.00	70.00	7.08
23.90	70.00	7.20
23.90	70.00	7.12
23.90	70.00	7.08
23.90	70.00	7.22
23.90	70.00	7.16
23.90	70.00	7.04
23.90	70.00	7.12
23.90	70.00	7.18
23.90	70.00	7.08
23.80	70.00	7.12
23.90	70.00	7.18
23.80	70.00	7.16
23.90	70.00	7.33
23.90	70.00	7.08
23.90	70.00	7.16
23.90	70.00	7.18
23.80	70.00	6.02
23.80	70.00	7.12
23.90	70.00	7.18
23.80	70.00	7.14
23.80	70.00	7.10
23.80	70.00	7.18
23.80	70.00	7.31
23.80	70.00	7.10
23.80	70.00	7.10
23.80	70.00	7.18
23.80	70.00	7.14
23.70	70.00	7.10
23.80	70.00	7.18
23.80	70.00	7.16
23.80	70.00	7.06
23.80	70.00	7.14
23.80	70.00	7.50
23.80	70.00	7.29
23.80	70.00	5.86
23.80	71.00	7.20
23.70	71.00	7.16
23.70	71.00	7.08
23.80	71.00	7.16
23.80	71.00	7.20
23.80	71.00	7.14
23.80	71.00	7.06
23.80	71.00	7.12
23.70	71.00	7.22
23.70	71.00	7.12
23.70	71.00	7.08
23.70	71.00	7.14
23.80	71.00	7.22
23.70	71.00	7.12
23.70	71.00	7.10
23.70	71.00	7.12
23.80	72.00	7.18
23.70	72.00	7.14
23.70	72.00	7.02
23.70	72.00	7.16
23.70	72.00	7.18
23.70	72.00	7.06
23.70	72.00	7.12
23.70	72.00	7.20
23.70	72.00	7.14
23.70	72.00	6.02
23.70	72.00	7.18
23.70	72.00	7.20
23.70	72.00	7.08
23.70	72.00	7.22
23.70	72.00	7.20
23.70	72.00	7.16
23.70	72.00	7.08
23.70	72.00	7.04
23.70	72.00	7.10
23.70	73.00	7.20
23.60	73.00	7.14
23.70	73.00	6.02
23.70	73.00	7.18
23.70	73.00	6.97
23.70	73.00	7.08
23.70	73.00	6.31
23.70	73.00	7.63
23.60	73.00	7.16
23.70	73.00	7.08
23.70	73.00	7.10
23.60	73.00	7.18
23.60	73.00	7.12
23.60	73.00	7.06
23.60	72.00	7.10
23.70	72.00	7.20
23.60	72.00	7.12
23.60	72.00	7.08
23.60	72.00	7.04
23.60	72.00	7.18
23.70	72.00	7.14
23.60	72.00	7.06
23.60	72.00	6.04
23.60	72.00	7.18
23.60	72.00	7.14
23.60	72.00	7.06
23.60	72.00	7.16
23.60	72.00	7.22
23.60	72.00	7.16
23.60	72.00	7.08
23.60	72.00	7.12
23.60	72.00	7.20
23.60	73.00	7.08
23.60	73.00	6.99
23.60	73.00	7.18
23.60	73.00	7.20
23.60	73.00	7.08
23.60	73.00	7.10
23.60	73.00	7.18
23.60	73.00	7.16
23.60	73.00	7.06
23.50	74.00	7.08
23.60	74.00	7.18
23.60	74.00	7.16
23.60	74.00	7.04
23.60	74.00	7.08
23.60	74.00	7.18
23.60	74.00	7.14
23.60	74.00	7.10
23.60	74.00	7.16
23.60	74.00	7.18
23.60	74.00	7.29
23.60	74.00	6.00
23.60	74.00	6.05
23.60	74.00	7.22
23.60	74.00	7.04
23.60	74.00	7.04
23.60	74.00	7.12
23.60	74.00	7.18
23.60	74.00	7.16
23.60	74.00	6.06
23.60	74.00	6.04
23.60	74.00	7.16
23.60	74.00	7.12
23.60	74.00	7.08
23.60	74.00	6.12
23.60	74.00	7.20
23.60	74.00	7.02
23.60	74.00	7.08
23.60	74.00	7.20
23.60	75.00	7.18
23.60	74.00	7.04
23.60	75.00	7.12
23.60	75.00	7.20
23.50	75.00	7.12
23.50	75.00	7.29
23.60	75.00	6.11
23.60	75.00	7.18
23.60	75.00	7.02
23.60	75.00	7.12
23.60	75.00	7.22
23.60	75.00	7.16
23.50	75.00	7.08
23.60	75.00	7.10
23.60	75.00	7.08
23.60	75.00	7.35
23.60	75.00	7.18
23.60	75.00	7.08
23.60	75.00	7.08
23.60	75.00	7.54
23.60	75.00	7.18
23.60	75.00	7.06
23.60	75.00	7.06
23.60	75.00	7.20
23.60	75.00	7.16
23.50	76.00	7.01
23.60	76.00	7.12
23.60	76.00	7.20
23.60	76.00	7.16
23.60	76.00	6.02
23.60	76.00	7.14
23.60	76.00	7.20
23.60	76.00	7.16
23.60	76.00	7.04
23.60	76.00	7.04
23.60	76.00	7.12
23.60	76.00	7.08
23.60	76.00	7.08
23.60	76.00	7.12
23.60	76.00	7.20
23.50	76.00	7.12
23.60	76.00	7.12
23.60	76.00	7.08
23.60	76.00	7.22
23.60	76.00	7.18
23.60	76.00	7.08
23.60	76.00	7.04
23.60	76.00	7.18
23.60	76.00	7.16
23.60	76.00	6.04
23.50	76.00	7.14
23.50	76.00	7.16
23.60	76.00	7.08
23.50	76.00	7.02
23.60	77.00	7.22
23.50	77.00	7.18
23.50	77.00	7.08
23.50	77.00	7.10
23.60	77.00	7.40
23.60	77.00	7.18
23.50	77.00	7.10
23.60	77.00	7.10
23.50	77.00	7.18
23.50	77.00	7.08
23.50	77.00	7.08
23.60	77.00	7.04
23.50	77.00	7.12
23.60	77.00	7.16
23.60	77.00	7.01
23.50	77.00	7.12
23.50	77.00	7.10
23.60	77.00	7.14
23.50	77.00	7.02
23.50	77.00	5.98
23.50	77.00	6.08
23.60	77.00	7.18
23.60	77.00	7.01
23.60	77.00	6.99
23.60	77.00	7.14
23.50	77.00	7.12
23.60	77.00	7.06
23.50	77.00	6.01
23.60	77.00	7.01
23.50	77.00	7.12
23.50	77.00	7.06
23.60	77.00	6.99
23.60	77.00	7.08
23.60	77.00	7.10
23.50	77.00	7.16
23.50	77.00	7.10
23.50	77.00	7.01
23.50	77.00	7.12
23.50	77.00	7.29
23.50	77.00	7.01
23.50	77.00	7.08
23.50	77.00	7.12
23.50	77.00	6.69
23.50	77.00	7.56
23.60	77.00	7.08
23.50	77.00	7.01
23.50	77.00	7.10
23.50	78.00	7.08
23.50	77.00	5.97
23.50	77.00	7.02
23.50	77.00	7.20
23.50	78.00	7.06
23.60	77.00	7.01
23.50	78.00	7.16
23.50	78.00	7.10
23.50	78.00	7.10
23.50	78.00	7.02
23.50	77.00	7.16
23.50	78.00	7.10
23.50	77.00	7.08
23.50	78.00	7.08
23.40	78.00	7.12
23.50	77.00	7.10
23.50	77.00	7.06
23.50	77.00	6.01
23.50	77.00	7.10
23.50	77.00	7.16
23.50	78.00	6.99
23.50	77.00	7.08
23.50	77.00	7.12
23.60	77.00	7.04
23.40	78.00	7.06
23.50	77.00	7.61
23.50	77.00	7.12
23.50	77.00	7.08
23.50	77.00	6.99
23.50	78.00	7.01
23.50	77.00	7.12
23.50	78.00	7.16
23.50	78.00	7.08
23.50	78.00	7.08
23.50	77.00	7.10
23.50	77.00	7.01
23.40	78.00	7.10
23.50	78.00	7.12
23.50	77.00	7.08
23.50	78.00	7.02
23.50	78.00	7.12
23.40	78.00	7.10
23.50	78.00	7.04
23.50	78.00	7.02
23.50	78.00	7.08
23.50	77.00	7.10
23.50	78.00	7.01
23.50	77.00	7.02
23.50	78.00	7.14
23.50	78.00	7.08
23.50	78.00	7.01
23.50	78.00	7.02
23.50	78.00	7.14
23.40	78.00	7.08
23.40	78.00	6.99
23.50	77.00	7.04
23.50	78.00	7.06
23.40	78.00	7.12
23.50	78.00	7.08
23.50	78.00	6.99
23.50	78.00	7.06
23.50	77.00	7.12
23.50	77.00	7.04
23.50	78.00	7.01
23.40	78.00	7.06
23.50	78.00	7.12
23.50	77.00	7.02
23.50	78.00	7.04
23.50	78.00	7.16
23.40	78.00	7.06
23.50	78.00	7.01
23.50	77.00	7.02
23.50	78.00	7.14
23.50	77.00	7.10
23.40	78.00	6.95
23.50	78.00	6.99
23.50	78.00	7.12
23.40	78.00	7.12
23.50	77.00	7.04
23.50	78.00	6.15
23.50	78.00	7.02
23.50	78.00	7.01
23.50	78.00	6.93
23.50	77.00	7.01
23.40	78.00	7.02
23.50	78.00	7.04
23.40	78.00	7.23
23.50	78.00	7.40
23.50	77.00	6.84
23.50	78.00	7.01
23.50	78.00	7.06
23.40	78.00	7.14
23.50	78.00	7.06
23.40	78.00	7.01
23.50	78.00	6.88
23.40	78.00	7.10
23.40	78.00	7.06
23.50	78.00	7.01
23.50	78.00	7.04
23.50	78.00	7.10
23.40	78.00	7.06
23.50	78.00	7.02
23.50	78.00	7.01
23.40	78.00	7.14
23.40	78.00	7.08
23.50	78.00	6.92
23.50	78.00	6.99
23.50	78.00	7.14
23.50	78.00	7.06
23.50	78.00	6.97
23.50	78.00	7.02
23.40	78.00	7.12
23.40	78.00	7.12
23.50	78.00	7.08
23.50	78.00	6.00
23.40	78.00	7.04
23.50	78.00	7.12
23.40	78.00	7.10
23.40	78.00	6.99
23.50	78.00	6.06
23.50	78.00	7.12
23.50	78.00	7.10
23.40	78.00	7.02
23.50	78.00	7.01
